Date,Average Division,Index
1-Jan-18,Average,118.1
1-Feb-18,Average,118.3
1-Mar-18,Average,118.3
1-Apr-18,Average,118.4
1-May-18,Average,118.6
1-Jun-18,Average,116.9
1-Jul-18,Average,116.9
1-Aug-18,Average,117.2
1-Sep-18,Average,117.9
1-Oct-18,Average,118.1
1-Nov-18,Average,118.4
1-Dec-18,Average,118.4
1-Jan-19,Average,118.3
1-Feb-19,Average,118.6
1-Mar-19,Average,118.9
1-Apr-19,Average,119
1-May-19,Average,119.1
1-Jun-19,Average,119.1
1-Jul-19,Average,119.2
1-Aug-19,Average,119.5
1-Sep-19,Average,119.7
1-Oct-19,Average,119.8
1-Nov-19,Average,120.1
1-Dec-19,Average,120.1
1-Jan-20,Average,120.2
1-Feb-20,Average,120.1
1-Mar-20,Average,120.4
1-Apr-20,Average,120.5
1-May-20,Average,120.4
1-Jun-20,Average,120.5
1-Jul-20,Average,120.5
1-Aug-20,Average,120.8
1-Sep-20,Average,120.9
1-Oct-20,Average,120.8
1-Nov-20,Average,120.9
1-Dec-20,Average,120.9
1-Jan-21,Average,121
1-Feb-21,Average,121
1-Mar-21,Average,121.2
1-Apr-21,Average,121.3
1-May-21,Average,121.4
1-Jun-21,Average,121.4
1-Jul-21,Average,121.3
1-Aug-21,Average,121.5
1-Sep-21,Average,121.6
1-Oct-21,Average,121.6
1-Nov-21,Average,122
1-Dec-21,Average,122.2
1-Jan-22,Average,122.9
1-Feb-22,Average,123.2
1-Mar-22,Average,123.6
1-Apr-22,Average,123.8
1-May-22,Average,124.3
1-Jun-22,Average,125
1-Jul-22,Average,125.4
1-Aug-22,Average,126.1
1-Sep-22,Average,126.5
1-Oct-22,Average,126.6
1-Nov-22,Average,127.1
1-Dec-22,Average,127.2
1-Jan-23,Average,127.7
1-Feb-23,Average,128
1-Mar-23,Average,128.3
1-Apr-23,Average,128.3
1-May-23,Average,128.7
1-Jun-23,Average,128.9
1-Jul-23,Average,128.9
1-Aug-23,Average,129.2
1-Sep-23,Average,129.6
1-Oct-23,Average,129.6
1-Nov-23,Average,129.6
1-Dec-23,Average,129.6
1-Jan-24,Average,129.98583
1-Feb-24,Average,130.3
1-Mar-24,Average,130.5
1-Apr-24,Average,130.7
1-May-24,Average,131.2
1-Jun-24,Average,131.3
1-Jul-24,Average,131.4
1-Aug-24,Average,131.7
1-Sep-24,Average,131.9
1-Oct-24,Average,131.9
1-Nov-24,Average,131.9
1-Dec-24,Average,131.7
1-Jan-25,Average,132.3
1-Feb-25,Average,132.8
1-Mar-25,Average,133
1-Apr-25,Average,133.3
1-May-25,Average,133.5
1-Jun-25,Average,133.6
1-Jul-25,Average,133.8
